date,individual,foreign,inst_total,fin_invest,insurance,invest_trust,bank,other_fin,pension,other_corp
2026-01-02,-4252,6309,-2477,-1138,-615,-517,73,-84,-196,419
2026-01-05,-15141,21726,-7046,-508,-1525,-3486,85,-47,-1564,461
2026-01-06,5963,-6184,-664,1697,-243,-1406,66,-54,-724,886
2026-01-07,-2944,12548,-9397,-3594,-1453,-3499,64,32,-947,-207
2026-01-08,12540,-979,-14014,-8547,-463,-3524,12,19,-1510,2453
2026-01-09,1339,-16068,12046,11654,-505,239,127,3,527,2683
2026-01-12,-1013,-3512,2101,5682,-1337,-1706,45,-82,-501,2425
2026-01-13,-7125,-2793,7881,7769,-821,796,104,12,22,2037
2026-01-14,-4377,-3760,5887,6045,-396,25,-2,66,149,2250
2026-01-15,-18235,3450,12905,14577,-281,-965,-59,-55,-312,1880
2026-01-16,-9383,4350,3083,5114,-789,-282,-10,-49,-901,1949
2026-01-19,-7513,5532,-256,2054,-490,-669,32,5,-1188,2237
2026-01-20,3524,1232,-6500,-2089,-367,-2235,34,-114,-1729,1744
2026-01-21,-9965,4394,3217,2946,-230,1068,-59,55,-564,2355
2026-01-22,1555,-2432,-1568,3161,-1922,-790,16,16,-2049,2445
2026-01-23,-7239,1438,4790,9290,-189,-1492,-69,-30,-2719,1012
2026-01-26,17157,-1588,-15414,-9528,-340,-3569,-75,-172,-1730,-154
2026-01-27,-10197,8448,2474,5695,-706,-2047,87,17,-572,-725
2026-01-28,12131,4008,-14021,-5710,-1414,-3815,80,-2261,-900,-2118
2026-01-29,16173,-14897,-1673,1569,-714,-1166,13,-178,-1197,397
2026-01-30,22979,-19729,-4241,-309,-1418,-2185,140,-162,-307,991
2026-02-02,45874,-25168,-22125,-21755,522,-709,-6,222,-399,1419
2026-02-03,-29423,7038,21708,14513,-139,5880,21,474,958,677
2026-02-04,-10119,-9413,17836,14945,-234,2572,177,86,290,1695
2026-02-05,67791,-50108,-20693,-18829,332,-1419,209,-2,-985,3010
2026-02-06,21736,-33233,9414,5782,239,1899,212,-42,1323,2083
2026-02-09,-32947,4320,27123,24244,-428,4265,-95,0,-863,1504
2026-02-10,-8780,1474,5643,7442,-249,-618,-50,95,-977,1663
2026-02-11,-17149,8461,6927,5223,-332,2188,-2,112,-263,1761
2026-02-12,-44547,29954,13800,10816,-815,2718,201,158,722,793
2026-02-13,7141,-9220,831,1810,-688,-897,-26,69,563,1248
2026-02-19,-8609,-9396,16542,16691,-1452,1100,-27,77,154,1463
2026-02-20,-9872,-7420,16149,19351,-739,-972,3,-72,-1422,1143
2026-02-23,10815,-11132,-1271,5330,-1600,-2279,-20,-16,-2685,1588
2026-02-24,-22861,-2013,23773,26669,-466,-1683,15,-44,-718,1102
2026-02-25,2307,-13082,14701,19937,-1314,-4730,-6,65,750,-3926
2026-02-26,6498,-21135,12569,16371,-2084,-756,-100,119,-981,2068
2026-02-27,62496,-70528,5666,11043,-654,-2544,-5,109,-2283,2366
2026-03-03,57974,-51487,-8859,-7283,425,-1904,-305,-204,412,2372
2026-03-04,796,2303,-5978,-5830,600,209,-223,-7,-727,2880
2026-03-05,18228,-1446,-17186,-12234,-652,-2520,-720,-189,-872,403
2026-03-06,29488,-19418,-11142,-5975,-273,-3625,47,432,-1748,1072
2026-03-09,46242,-31735,-15441,-11713,111,-2954,-174,310,-1020,934
2026-03-10,-18340,10283,9164,7448,-447,1956,26,275,-93,-1107
2026-03-11,-5086,-2563,7821,7254,-269,1425,94,211,-893,-173
2026-03-12,22291,-23831,775,-746,125,1812,12,-53,-374,764
2026-03-13,24512,-14502,-10434,-9500,13,-1482,32,218,285,424
2026-03-16,7164,-8485,911,-1040,135,1164,-13,253,412,411
2026-03-17,-5752,-1740,7341,4274,-472,2543,-14,167,843,152
2026-03-18,-38717,8802,31093,30984,-452,-612,67,146,960,-1178
2026-03-19,24116,-18760,-6649,-6655,30,417,38,170,-649,1294
2026-03-20,22338,-12402,-10260,4566,-14326,-1182,-8,84,606,323
2026-03-23,70029,-36751,-38173,-30239,159,-6649,64,108,-1617,4895
2026-03-24,7270,-19863,9683,10178,-320,-734,-12,136,435,2910
2026-03-25,-13402,-12895,23230,23351,-312,-92,2,133,147,3067
2026-03-26,30598,-29370,-2999,3185,76,-3811,-122,96,-2423,1771
2026-03-27,22596,-34286,7785,4181,436,3236,-10,170,-228,3905
2026-03-30,8945,-20945,8450,7440,93,1674,-80,133,-812,3550
2026-03-31,24400,-38386,10251,9477,453,528,-40,123,-291,3735
2026-04-01,-37628,-6411,40419,34308,-136,6145,12,281,-192,3620
2026-04-02,12097,-1368,-14517,-16900,279,1630,75,310,91,3788
2026-04-03,-20952,8035,7390,2839,92,4960,28,28,-557,5527
2026-04-06,-10502,-1596,8371,7597,99,1373,-135,288,-850,3726
2026-04-07,-3429,3704,-4001,-3918,127,310,33,265,-818,3726
2026-04-08,-54161,19089,27268,29960,-648,-148,60,126,-2083,7805
2026-04-09,2950,18476,-25125,5040,334,368,-31117,201,49,3698
2026-04-10,-12280,10641,-2031,868,-215,-2196,-218,145,-416,3670
2026-04-13,7173,-4579,-6698,-4814,-295,-194,208,130,-1733,4104
2026-04-14,-23919,8276,12545,13513,-652,103,-129,-35,-256,3098
2026-04-15,-9400,4973,368,8214,-1459,-5294,9,14,-1116,4059
2026-04-16,-18050,4814,10783,12460,-447,-772,-7,-153,-299,2453
2026-04-17,14464,-19974,1501,4343,-622,-1253,-85,-125,-757,4009
2026-04-20,-3158,-2338,2938,5183,-610,-1676,33,-72,80,2558
2026-04-21,-19204,11565,9181,9753,-1056,117,-206,-50,622,-1541
2026-04-22,11984,-6762,-4046,-4102,-270,-720,55,-5,995,-1176
2026-04-23,4514,-820,-2965,177,-1027,-2299,-14,1,197,-728
2026-04-24,11832,-19496,8053,10383,-409,-1332,-390,3,-202,-389
2026-04-27,-19758,8563,11349,15492,-915,-1395,-145,82,-1771,-155
2026-04-28,-1306,-1843,3532,6839,-1227,-1564,-267,29,-277,-383
